127.0.0.1 - - [15/Sep/2019:19:47:55 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:13:50 +0530] "GET /waterplant_web/LoginAdminServlet?name=NARESH&password=FGYHUJ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:13:50 +0530] "GET /waterplant_web/adminlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:14:03 +0530] "GET /waterplant_web/userlogin.jsp HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:15:39 +0530] "GET /waterplant_web/LoginUserServlet?mobileno=83008237&password=SHARMI HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:21:15:39 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:12 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:22 +0530] "GET /waterplant_web/LoginUserServlet?mobileno=8300&password=sharmi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:22 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:37 +0530] "GET /waterplant_web/LoginUserServlet?mobileno=8300&password=sharmi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:37 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:39 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:40 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:40 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:43 +0530] "GET /waterplant_web/index.jsp HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:43 +0530] "GET /waterplant_web/js/app.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:44:45 +0530] "GET /waterplant_web/userlogin.jsp HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:45:00 +0530] "GET /waterplant_web/LoginUserServlet?mobileno=8300&password=sharmi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Sep/2019:22:45:00 +0530] "GET /waterplant_web/userlogin.jsp?message=Invalid%20Login%20Crendentials!!! HTTP/1.1" 200 1737
